review_id,text,label,platform,date
R0001,maintain win help name all show kind far community major strong worry current mouth mean actually some draw red understand various soon ground ahead pass medical,1,Facebook,10/5/2023
R0002,student here have bed face particularly range dog choice partner team behavior film father buy wall about wish order scene understand hold check building American policy authority above identify use hotel so daughter,1,Facebook,12/7/2023
R0003,hope home girl majority again current here woman woman key trip community because support any court never benefit spend ahead ok perform huge identify,0,Facebook,12/7/2023
R0004,respond season growth always ahead area large move face computer community live knowledge five dinner top investment action will staff where car some thought it author bad skin he current then live forward nation never too sea rise hope hear bit,1,Facebook,17/08/2023
R0005,leave field thus TV effort indicate fast daughter memory discussion fill north health technology central indicate benefit style indeed almost heart yourself for loss moment chair consumer manage behavior yourself news report call scene probably factor of system,1,Facebook,26/08/2023
R0006,store story responsibility popular appear but long notice may morning pass site pull plan strong let mind reduce dark visit speak team trouble west summer fire call official interest explain view protect bit election character game day personal power fight down bad young model suddenly what including rise south,1,Facebook,4/8/2023
R0007,simple coach him throughout high better while different it figure than land yourself course second any month food enjoy century life example tend past not right edge important test best war pressure protect edge keep practice modern pressure large right purpose party use agree,0,Facebook,16/08/2023
R0008,decide smile note gas middle type support practice social wall plant two show main easy expect direction western grow style blood early require rest spring painting test know skill water past together feeling behind least ok fact challenge star continue natural discover,0,Facebook,27/09/2024
R0009,message detail beyond at husband bill response usually majority official if sea lot skill unit reach wall away real medical member there social very month people big assume down public result truth task as up treat present yeah hair hope traditional somebody because maybe media summer Republican,1,Facebook,27/01/2025
R0010,who today stock memory let he rule group remain be resource vote scientist hospital second Republican study goal look power available issue expert protect night budget decision source international forward there deep pattern card interview,0,Facebook,27/03/2025
R0011,hour evening amount above find impact yet bad plant bit agree former hand by spring work religious seat house few key center true music American else performance power change concern beautiful such any international heart amount safe size idea,1,Facebook,18/06/2023
R0012,yes time make treatment determine police system list world green purpose reason them performance stay various time color majority feeling road sing much oil themselves interest shake her person situation despite attorney nature threat since firm industry sometimes fund think crime group born or democratic senior agreement,0,Facebook,29/01/2024
R0013,peace simply region region effort issue should condition fear tax ok international well base sign likely town finish best catch rich scene follow bad level,1,Facebook,31/03/2025
R0014,man interest agency project scene rise full one fight social artist region agreement and feel message particularly past hundred wait,1,Facebook,13/07/2023
R0015,federal thus camera join operation never expect instead job member floor close go brother probably anything TV can check almost director sure compare Mrs less or effect my cell western artist order allow throughout cultural role defense join process leader after real enjoy,0,Facebook,8/2/2023
R0016,myself ok international look point sell share wait business laugh activity power maybe research yourself type prove between kid summer whatever bed word each series outside brother over seem discuss cold kid treatment their natural full,1,Facebook,26/04/2023
R0017,happy example control head part beautiful food bar make hour case picture against save every always leader gun candidate girl trial let group result southern determine we institution large everything yourself turn modern task discuss body money like over program study quality practice,0,Facebook,26/12/2023
R0018,say against bring claim me key certainly nation test success easy sell scene someone serious share majority history produce use say as clear machine really energy accept bill simply,1,Facebook,5/1/2023
R0019,drop street couple old environment hold animal total president cause seat work hotel often often computer contain treat religious bill main successful key out development morning significant over travel strong your play responsibility ago serious who read explain ago decade I,0,Facebook,15/11/2023
R0020,nation resource sea relationship almost color property or fast without magazine fish up work challenge participant opportunity those who place city look,0,Facebook,22/07/2024
R0021,build practice miss stay brother later house economy lot fine challenge education also him up accept good week left management debate small indeed song husband science moment receive might central outside room message administration leave military,0,Facebook,10/3/2023
